qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_formatted,q1_milliseconds,q2_formatted,q2_milliseconds,q3_formatted,q3_milliseconds
137,24,22,11,17,9,01:18.3,01:18.0,01:20.8,01:18.256,78256,01:18.020,78020,01:20.848,80848
138,24,17,9,10,10,01:17.6,01:17.5,\N,01:17.582,77582,01:17.523,77523,,
139,24,10,7,12,11,01:18.3,01:18.0,\N,01:18.321,78321,01:18.031,78031,,
140,24,6,3,8,12,01:17.6,01:18.1,\N,01:17.638,77638,01:18.062,78062,,
141,24,14,9,9,13,01:18.2,01:18.2,\N,01:18.168,78168,01:18.238,78238,,
142,24,15,7,11,14,01:18.0,01:18.3,\N,01:18.039,78039,01:18.327,78327,,
143,24,12,4,6,15,01:18.5,01:18.4,\N,01:18.505,78505,01:18.393,78393,,
144,24,7,5,14,16,01:18.9,\N,\N,01:18.916,78916,,,,
145,24,16,10,20,17,01:19.1,\N,\N,01:19.108,79108,,,,
146,24,21,10,21,18,01:19.2,\N,\N,01:19.165,79165,,,,
147,24,18,11,16,19,01:23.6,\N,\N,01:23.565,83565,,,,
148,24,20,5,15,20,\N,\N,\N,,,,,,
149,25,8,6,1,1,01:15.1,01:15.2,01:16.4,01:15.133,75133,01:15.161,75161,01:16.449,76449
150,25,13,6,2,2,01:15.0,01:15.0,01:16.5,01:15.024,75024,01:15.041,75041,01:16.490,76490
151,25,1,1,22,3,01:15.6,01:15.3,01:16.7,01:15.634,75634,01:15.293,75293,01:16.693,76693
152,25,4,4,5,4,01:15.8,01:15.5,01:16.8,01:15.754,75754,01:15.483,75483,01:16.840,76840
153,25,15,7,11,5,01:15.5,01:15.4,01:16.9,01:15.521,75521,01:15.362,75362,01:16.920,76920
154,25,5,1,23,6,01:16.0,01:15.6,01:16.9,01:15.965,75965,01:15.639,75639,01:16.944,76944
155,25,9,2,4,7,01:15.7,01:15.7,01:17.0,01:15.687,75687,01:15.723,75723,01:17.037,77037
156,25,17,9,10,8,01:16.0,01:15.5,01:17.2,01:16.020,76020,01:15.488,75488,01:17.233,77233
157,25,14,9,9,9,01:15.8,01:15.7,01:17.4,01:15.802,75802,01:15.654,75654,01:17.426,77426
158,25,10,7,12,10,01:15.7,01:15.6,01:17.6,01:15.727,75727,01:15.558,75558,01:17.596,77596
159,25,12,4,6,11,01:15.8,01:15.8,\N,01:15.848,75848,01:15.770,75770,,
160,25,2,2,3,12,01:16.0,01:15.8,\N,01:16.006,76006,01:15.786,75786,,
161,25,20,5,15,13,01:15.9,01:15.8,\N,01:15.918,75918,01:15.816,75816,,
162,25,7,5,14,14,01:16.1,01:16.0,\N,01:16.072,76072,01:16.045,76045,,
163,25,3,3,7,15,01:16.1,01:16.2,\N,01:16.085,76085,01:16.235,76235,,
164,25,6,3,8,16,01:16.2,\N,\N,01:16.243,76243,,,,
165,25,18,11,16,17,01:16.3,\N,\N,01:16.306,76306,,,,
166,25,22,11,17,18,01:16.3,\N,\N,01:16.330,76330,,,,
167,25,21,10,21,19,01:17.0,\N,\N,01:16.971,76971,,,,
168,25,16,10,20,20,01:17.1,\N,\N,01:17.053,77053,,,,
169,26,5,1,23,1,01:20.0,01:19.6,01:21.0,01:19.957,79957,01:19.597,79597,01:21.049,81049
170,26,17,9,10,2,01:21.0,01:19.7,01:21.6,01:20.982,80982,01:19.710,79710,01:21.554,81554
171,26,8,6,1,3,01:20.4,01:20.0,01:21.7,01:20.370,80370,01:19.971,79971,01:21.706,81706
172,26,1,1,22,4,01:20.3,01:20.0,01:21.8,01:20.288,80288,01:20.000,80000,01:21.835,81835
173,26,2,2,3,5,01:21.0,01:19.8,01:21.9,01:21.022,81022,01:19.802,79802,01:21.873,81873
174,26,4,4,5,6,01:21.0,01:20.0,01:22.0,01:20.998,80998,01:19.992,79992,01:22.029,82029
175,26,12,4,6,7,01:20.8,01:20.1,01:22.5,01:20.818,80818,01:20.115,80115,01:22.491,82491
176,26,20,5,15,8,01:20.3,01:20.1,01:23.3,01:20.318,80318,01:20.109,80109,01:23.251,83251
177,26,13,6,2,9,01:20.7,01:20.1,01:23.3,01:20.676,80676,01:20.086,80086,01:23.305,83305
178,26,9,2,4,10,01:20.4,01:19.8,\N,01:20.444,80444,01:19.788,79788,,
179,26,14,9,9,11,01:21.2,01:20.2,\N,01:21.224,81224,01:20.174,80174,,
180,26,10,7,12,12,01:20.9,01:20.3,\N,01:20.893,80893,01:20.274,80274,,
181,26,7,5,14,13,01:20.6,01:20.5,\N,01:20.584,80584,01:20.531,80531,,
182,26,15,7,11,14,01:21.1,01:20.6,\N,01:21.145,81145,01:20.601,80601,,
183,26,6,3,8,15,01:21.4,01:21.1,\N,01:21.407,81407,01:21.112,81112,,
184,26,22,11,17,16,01:21.5,\N,\N,01:21.512,81512,,,,
185,26,18,11,16,17,01:21.6,\N,\N,01:21.631,81631,,,,
186,26,3,3,7,18,01:21.7,\N,\N,01:21.668,81668,,,,
187,26,16,10,20,19,01:21.8,\N,\N,01:21.786,81786,,,,
188,26,21,10,21,20,01:21.9,\N,\N,01:21.885,81885,,,,
189,27,1,1,22,1,01:15.2,01:14.6,01:15.7,01:15.218,75218,01:14.603,74603,01:15.666,75666
190,27,13,6,2,2,01:14.9,01:14.7,01:15.9,01:14.921,74921,01:14.747,74747,01:15.859,75859
191,27,5,1,23,3,01:15.5,01:14.9,01:16.1,01:15.476,75476,01:14.855,74855,01:16.143,76143
192,27,15,7,11,4,01:15.6,01:15.1,01:16.2,01:15.560,75560,01:15.122,75122,01:16.191,76191
193,27,4,4,5,5,01:15.9,01:14.9,01:16.4,01:15.917,75917,01:14.943,74943,01:16.385,76385
194,27,8,6,1,6,01:15.2,01:14.9,01:16.4,01:15.201,75201,01:14.949,74949,01:16.389,76389
195,27,9,2,4,7,01:16.0,01:15.1,01:16.5,01:15.985,75985,01:15.109,75109,01:16.521,76521
196,27,17,9,10,8,01:15.9,01:15.5,01:17.0,01:15.900,75900,01:15.481,75481,01:17.014,77014
197,27,20,5,15,9,01:15.5,01:15.4,01:17.2,01:15.532,75532,01:15.420,75420,01:17.244,77244
198,27,14,9,9,10,01:16.0,01:15.3,01:17.5,01:15.975,75975,01:15.338,75338,01:17.503,77503
199,27,10,7,12,11,01:15.6,01:15.5,\N,01:15.560,75560,01:15.508,75508,,
200,27,2,2,3,12,01:15.6,01:15.6,\N,01:15.596,75596,01:15.581,75581,,
201,27,3,3,7,13,01:15.9,01:15.6,\N,01:15.863,75863,01:15.633,75633,,
202,27,18,11,16,14,01:16.0,01:15.7,\N,01:15.993,75993,01:15.701,75701,,
203,27,7,5,14,15,01:15.9,01:15.9,\N,01:15.927,75927,01:15.858,75858,,
204,27,6,3,8,16,01:16.1,\N,\N,01:16.083,76083,,,,
205,27,12,4,6,17,01:16.2,\N,\N,01:16.189,76189,,,,
206,27,22,11,17,18,01:16.2,\N,\N,01:16.246,76246,,,,
207,27,16,10,20,19,01:16.7,\N,\N,01:16.657,76657,,,,
208,27,21,10,21,20,01:17.0,\N,\N,01:16.963,76963,,,,
209,28,1,1,22,1,01:19.4,01:19.5,01:20.9,01:19.376,79376,01:19.473,79473,01:20.899,80899
210,28,5,1,23,2,01:19.9,01:19.5,01:21.1,01:19.945,79945,01:19.480,79480,01:21.140,81140
211,28,13,6,2,3,01:19.6,01:19.1,01:21.2,01:19.578,79578,01:19.068,79068,01:21.191,81191
212,28,9,2,4,4,01:20.1,01:19.8,01:21.3,01:20.053,80053,01:19.776,79776,01:21.281,81281
213,28,10,7,12,5,01:20.0,01:19.2,01:21.3,01:19.980,79980,01:19.246,79246,01:21.326,81326
214,28,8,6,1,6,01:20.0,01:19.5,01:21.5,01:20.006,80006,01:19.546,79546,01:21.516,81516
215,28,4,4,5,7,01:20.2,01:19.8,01:21.7,01:20.229,80229,01:19.816,79816,01:21.698,81698
216,28,17,9,10,8,01:20.1,01:20.0,01:21.7,01:20.073,80073,01:20.046,80046,01:21.732,81732
217,28,15,7,11,9,01:19.9,01:19.5,01:21.8,01:19.942,79942,01:19.486,79486,01:21.767,81767
218,28,12,4,6,10,01:20.6,01:20.1,01:22.4,01:20.583,80583,01:20.131,80131,01:22.371,82371
219,28,20,5,15,11,01:20.2,01:20.1,\N,01:20.157,80157,01:20.144,80144,,
220,28,18,11,16,12,01:20.9,01:20.3,\N,01:20.888,80888,01:20.332,80332,,
221,28,14,9,9,13,01:20.5,01:20.5,\N,01:20.505,80505,01:20.502,80502,,
222,28,7,5,14,14,01:20.6,01:21.0,\N,01:20.640,80640,01:20.963,80963,,
223,28,3,3,7,15,01:20.7,\N,\N,01:20.748,80748,,,,
224,28,2,2,3,16,01:21.0,\N,\N,01:21.045,81045,,,,
225,28,6,3,8,17,01:21.1,\N,\N,01:21.085,81085,,,,
226,28,22,11,17,18,01:21.3,\N,\N,01:21.332,81332,,,,
227,28,21,10,21,19,01:21.7,\N,\N,01:21.670,81670,,,,
228,28,16,10,20,20,01:22.1,\N,\N,01:22.113,82113,,,,
229,29,13,6,2,1,01:38.2,01:37.9,01:39.0,01:38.176,98176,01:37.859,97859,01:38.989,98989
230,29,1,1,22,2,01:38.5,01:38.0,01:39.2,01:38.464,98464,01:37.954,97954,01:39.199,99199
231,29,9,2,4,3,01:38.3,01:38.1,01:39.4,01:38.347,98347,01:38.050,98050,01:39.392,99392
232,29,8,6,1,4,01:38.7,01:38.2,01:39.5,01:38.703,98703,01:38.229,98229,01:39.488,99488
233,29,5,1,23,5,01:38.7,01:38.1,01:39.9,01:38.656,98656,01:38.120,98120,01:39.937,99937
234,29,20,5,15,6,01:38.1,01:37.8,01:40.1,01:38.141,98141,01:37.842,97842,01:40.142,100142
235,29,15,7,11,7,01:37.9,01:37.9,01:40.3,01:37.948,97948,01:37.928,97928,01:40.309,100309
236,29,2,2,3,8,01:38.7,01:37.9,01:40.6,01:38.738,98738,01:37.859,97859,01:40.631,100631
237,29,3,3,7,9,01:38.6,01:38.3,01:40.7,01:38.595,98595,01:38.336,98336,01:40.721,100721
238,29,7,5,14,10,01:38.6,01:38.4,01:40.8,01:38.622,98622,01:38.417,98417,01:40.750,100750
239,29,6,3,8,11,01:38.7,01:38.4,\N,01:38.667,98667,01:38.428,98428,,
240,29,4,4,5,12,01:38.3,01:38.4,\N,01:38.268,98268,01:38.435,98435,,
241,29,10,7,12,13,01:38.5,01:38.5,\N,01:38.532,98532,01:38.499,98499,,
242,29,17,9,10,14,01:38.6,01:38.5,\N,01:38.559,98559,01:38.515,98515,,
243,29,12,4,6,15,01:38.8,01:38.7,\N,01:38.787,98787,01:38.744,98744,,
244,29,18,11,16,16,01:38.9,\N,\N,01:38.880,98880,,,,
245,29,14,9,9,17,01:39.2,\N,\N,01:39.235,99235,,,,
246,29,21,10,21,18,01:39.3,\N,\N,01:39.268,99268,,,,
247,29,22,11,17,19,01:39.8,\N,\N,01:39.811,99811,,,,
248,29,16,10,20,20,01:39.9,\N,\N,01:39.943,99943,,,,
249,30,1,1,22,1,01:46.9,01:46.1,01:47.3,01:46.887,106887,01:46.088,106088,01:47.338,107338
250,30,13,6,2,2,01:46.9,01:46.4,01:47.7,01:46.873,106873,01:46.391,106391,01:47.678,107678
251,30,5,1,23,3,01:46.8,01:46.0,01:47.8,01:46.812,106812,01:46.037,106037,01:47.815,107815
252,30,8,6,1,4,01:47.0,01:46.3,01:48.0,01:46.960,106960,01:46.298,106298,01:47.992,107992
253,30,2,2,3,5,01:47.4,01:46.3,01:48.3,01:47.419,107419,01:46.311,106311,01:48.315,108315
254,30,4,4,5,6,01:47.2,01:46.5,01:48.5,01:47.154,107154,01:46.491,106491,01:48.504,108504
255,30,17,9,10,7,01:47.3,01:46.8,01:48.7,01:47.270,107270,01:46.814,106814,01:48.736,108736
256,30,9,2,4,8,01:47.1,01:46.5,01:48.8,01:47.093,107093,01:46.494,106494,01:48.763,108763
257,30,7,5,14,9,01:46.8,01:46.5,01:49.0,01:46.777,106777,01:46.544,106544,01:48.951,108951
258,30,20,5,15,10,01:47.2,01:46.8,01:50.3,01:47.152,107152,01:46.804,106804,01:50.319,110319
259,30,15,7,11,11,01:47.4,01:46.9,\N,01:47.400,107400,01:46.949,106949,,
260,30,12,4,6,12,01:47.1,01:47.0,\N,01:47.052,107052,01:46.965,106965,,
261,30,10,7,12,13,01:47.4,01:47.0,\N,01:47.359,107359,01:46.995,106995,,
262,30,14,9,9,14,01:47.1,01:47.0,\N,01:47.132,107132,01:47.018,107018,,
263,30,3,3,7,15,01:47.5,01:47.4,\N,01:47.503,107503,01:47.429,107429,,
264,30,22,11,17,16,01:48.2,\N,\N,01:48.153,108153,,,,
265,30,18,11,16,17,01:48.2,\N,\N,01:48.211,108211,,,,
266,30,16,10,20,18,01:48.2,\N,\N,01:48.226,108226,,,,
267,30,6,3,8,19,01:48.3,\N,\N,01:48.268,108268,,,,
268,30,21,10,21,20,01:48.4,\N,\N,01:48.447,108447,,,,
269,31,20,5,15,1,01:35.5,01:35.8,01:37.6,01:35.464,95464,01:35.837,95837,01:37.555,97555
270,31,5,1,23,2,01:35.2,01:35.8,01:37.6,01:35.214,95214,01:35.843,95843,01:37.631,97631
